PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SG/SF,Torrey Craig (11932357),Torrey Craig,11932357,SG/SF/F/G/UTIL,4000,LAC@DEN 01/10/2019 09:00PM ET,DEN,14.29
,,,,,,,,,PG,Isaiah Thomas (11932362),Isaiah Thomas,11932362,PG/G/UTIL,4000,LAC@DEN 01/10/2019 09:00PM ET,DEN,0
,,,,,,,,,C,Marcin Gortat (11932373),Marcin Gortat,11932373,C/UTIL,4000,LAC@DEN 01/10/2019 09:00PM ET,LAC,16.23
,,,,,,,,,PG/SG,Terry Rozier (11932365),Terry Rozier,11932365,PG/SG/G/UTIL,4000,BOS@MIA 01/10/2019 07:00PM ET,BOS,20.74
,,,,,,,,,SF/PF,Derrick Jones Jr. (11932369),Derrick Jones Jr.,11932369,SF/PF/F/UTIL,4000,BOS@MIA 01/10/2019 07:00PM ET,MIA,16.34
,,,,,,,,,PF/C,Kelly Olynyk (11932375),Kelly Olynyk,11932375,PF/C/F/UTIL,3900,BOS@MIA 01/10/2019 07:00PM ET,MIA,20.27
,,,,,,,,,PF/C,Daniel Theis (11932379),Daniel Theis,11932379,PF/C/F/UTIL,3900,BOS@MIA 01/10/2019 07:00PM ET,BOS,15.74
,,,,,,,,,PG/SG,Malik Beasley (11932383),Malik Beasley,11932383,PG/SG/G/UTIL,3800,LAC@DEN 01/10/2019 09:00PM ET,DEN,16.35
,,,,,,,,,PG,Monte Morris (11932387),Monte Morris,11932387,PG/G/UTIL,3800,LAC@DEN 01/10/2019 09:00PM ET,DEN,21.45
,,,,,,,,,PG/SG,Patrick Beverley (11932390),Patrick Beverley,11932390,PG/SG/G/UTIL,3800,LAC@DEN 01/10/2019 09:00PM ET,LAC,18.68
,,,,,,,,,SF/PF,Juancho Hernangomez (11932403),Juancho Hernangomez,11932403,SF/PF/F/UTIL,3700,LAC@DEN 01/10/2019 09:00PM ET,DEN,19.95
,,,,,,,,,SG/SF,Iman Shumpert (11932394),Iman Shumpert,11932394,SG/SF/F/G/UTIL,3700,DET@SAC 01/10/2019 10:00PM ET,SAC,19.79
,,,,,,,,,PG/SG,Bruce Brown Jr. (11932407),Bruce Brown Jr.,11932407,PG/SG/G/UTIL,3700,DET@SAC 01/10/2019 10:00PM ET,DET,11.98
,,,,,,,,,SF/PF,Davis Bertans (11932399),Davis Bertans,11932399,SF/PF/F/UTIL,3700,OKC@SA 01/10/2019 09:30PM ET,SA,15.60
,,,,,,,,,SF/PF,Trey Lyles (11932411),Trey Lyles,11932411,SF/PF/F/UTIL,3600,LAC@DEN 01/10/2019 09:00PM ET,DEN,18.40
,,,,,,,,,C,Jakob Poeltl (11932415),Jakob Poeltl,11932415,C/UTIL,3600,OKC@SA 01/10/2019 09:30PM ET,SA,15.54
,,,,,,,,,SG/SF,Dion Waiters (11932417),Dion Waiters,11932417,SG/SF/F/G/UTIL,3500,BOS@MIA 01/10/2019 07:00PM ET,MIA,20.12
,,,,,,,,,PG/SG,Patty Mills (11932422),Patty Mills,11932422,PG/SG/G/UTIL,3500,OKC@SA 01/10/2019 09:30PM ET,SA,18.16
,,,,,,,,,C,Boban Marjanovic (11932431),Boban Marjanovic,11932431,C/UTIL,3400,LAC@DEN 01/10/2019 09:00PM ET,LAC,15.28
,,,,,,,,,SG,Avery Bradley (11932433),Avery Bradley,11932433,SG/G/UTIL,3400,LAC@DEN 01/10/2019 09:00PM ET,LAC,15.21
,,,,,,,,,C,Aron Baynes (11932436),Aron Baynes,11932436,C/UTIL,3400,BOS@MIA 01/10/2019 07:00PM ET,BOS,13.66
,,,,,,,,,C,Zaza Pachulia (11932438),Zaza Pachulia,11932438,C/UTIL,3400,DET@SAC 01/10/2019 10:00PM ET,DET,13.66
,,,,,,,,,SG/SF,Terrance Ferguson (11932426),Terrance Ferguson,11932426,SG/SF/F/G/UTIL,3400,OKC@SA 01/10/2019 09:30PM ET,OKC,9.41
,,,,,,,,,C,Nerlens Noel (11932440),Nerlens Noel,11932440,C/UTIL,3400,OKC@SA 01/10/2019 09:30PM ET,OKC,16.18
,,,,,,,,,SG/SF,Rodney McGruder (11932459),Rodney McGruder,11932459,SG/SF/F/G/UTIL,3300,BOS@MIA 01/10/2019 07:00PM ET,MIA,20.71
,,,,,,,,,PG/SG,Yogi Ferrell (11932442),Yogi Ferrell,11932442,PG/SG/G/UTIL,3300,DET@SAC 01/10/2019 10:00PM ET,SAC,11.21
,,,,,,,,,PG,Ish Smith (11932446),Ish Smith,11932446,PG/G/UTIL,3300,DET@SAC 01/10/2019 10:00PM ET,DET,17.57
,,,,,,,,,SG/SF,Luke Kennard (11932454),Luke Kennard,11932454,SG/SF/F/G/UTIL,3300,DET@SAC 01/10/2019 10:00PM ET,DET,13.46
,,,,,,,,,SG/SF,Alex Abrines (11932449),Alex Abrines,11932449,SG/SF/F/G/UTIL,3300,OKC@SA 01/10/2019 09:30PM ET,OKC,10.68
